"id","id_prov","kode_bps","nama_bps","kode_dagri","kode_dagri2","nama_dagri","tipe"
"1","1","1101","SIMEULUE","1109","11.09","KAB. SIMEULUE","1"
"2","1","1102","ACEH SINGKIL","1110","11.10","KAB. ACEH SINGKIL","1"
"3","1","1103","ACEH SELATAN","1101","11.01","KAB. ACEH SELATAN","1"
"4","1","1104","ACEH TENGGARA","1102","11.02","KAB. ACEH TENGGARA","1"
"5","1","1105","ACEH TIMUR","1103","11.03","KAB. ACEH TIMUR","1"
"6","1","1106","ACEH TENGAH","1104","11.04","KAB. ACEH TENGAH","1"
"7","1","1107","ACEH BARAT","1105","11.05","KAB. ACEH BARAT","1"
"8","1","1108","ACEH BESAR","1106","11.06","KAB. ACEH BESAR","1"
"9","1","1109","PIDIE","1107","11.07","KAB. PIDIE","1"
"10","1","1110","BIREUEN","1111","11.11","KAB. BIREUEN","1"
"11","1","1111","ACEH UTARA","1108","11.08","KAB. ACEH UTARA","1"
"12","1","1112","ACEH BARAT DAYA","1112","11.12","KAB. ACEH BARAT DAYA","1"
"13","1","1113","GAYO LUES","1113","11.13","KAB. GAYO LUES","1"
"14","1","1114","ACEH TAMIANG","1116","11.16","KAB. ACEH TAMIANG","1"
"15","1","1115","NAGAN RAYA","1115","11.15","KAB. NAGAN RAYA","1"
"16","1","1116","ACEH JAYA","1114","11.14","KAB. ACEH JAYA","1"
"17","1","1117","BENER MERIAH","1117","11.17","KAB. BENER MERIAH","1"
"18","1","1118","PIDIE JAYA","1118","11.18","KAB. PIDIE JAYA","1"
"19","1","1171","BANDA ACEH","1171","11.71","KOTA BANDA ACEH","2"
"20","1","1172","SABANG","1172","11.72","KOTA SABANG","2"
"21","1","1173","LANGSA","1174","11.74","KOTA LANGSA","2"
"22","1","1174","LHOKSEUMAWE","1173","11.73","KOTA LHOKSEUMAWE","2"
"23","1","1175","SUBULUSSALAM","1175","11.75","KOTA SUBULUSSALAM","2"
"24","2","1201","NIAS","1204","12.04","KAB. NIAS","1"
"25","2","1202","MANDAILING NATAL","1213","12.13","KAB. MANDAILING NATAL","1"
"26","2","1203","TAPANULI SELATAN","1203","12.03","KAB. TAPANULI SELATAN","1"
"27","2","1204","TAPANULI TENGAH","1201","12.01","KAB. TAPANULI TENGAH","1"
"28","2","1205","TAPANULI UTARA","1202","12.02","KAB. TAPANULI UTARA","1"
"29","2","1206","TOBA SAMOSIR","1212","12.12","KAB. TOBA SAMOSIR","1"
"30","2","1207","LABUHAN BATU","1210","12.10","KAB. LABUHANBATU","1"
"31","2","1208","ASAHAN","1209","12.09","KAB. ASAHAN","1"
"32","2","1209","SIMALUNGUN","1208","12.08","KAB. SIMALUNGUN","1"
"33","2","1210","DAIRI","1211","12.11","KAB. DAIRI","1"
"34","2","1211","KARO","1206","12.06","KAB. KARO","1"
"35","2","1212","DELI SERDANG","1207","12.07","KAB. DELI SERDANG","1"
"36","2","1213","LANGKAT","1205","12.05","KAB. LANGKAT","1"
"37","2","1214","NIAS SELATAN","1214","12.14","KAB. NIAS SELATAN","1"
"38","2","1215","HUMBANG HASUNDUTAN","1216","12.16","KAB. HUMBANG HASUNDUTAN","1"
"39","2","1216","PAKPAK BHARAT","1215","12.15","KAB. PAKPAK BHARAT","1"
"40","2","1217","SAMOSIR","1217","12.17","KAB. SAMOSIR","1"
"41","2","1218","SERDANG BEDAGAI","1218","12.18","KAB. SERDANG BEDAGAI","1"
"42","2","1219","BATU BARA","1219","12.19","KAB. BATU BARA","1"
"43","2","1220","PADANG LAWAS UTARA","1220","12.20","KAB. PADANG LAWAS UTARA","1"
"44","2","1221","PADANG LAWAS","1221","12.21","KAB. PADANG LAWAS","1"
"45","2","1222","LABUHAN BATU SELATAN","1222","12.22","KAB. LABUHANBATU SELATAN","1"
"46","2","1223","LABUHAN BATU UTARA","1223","12.23","KAB. LABUHANBATU UTARA","1"
"47","2","1224","NIAS UTARA","1224","12.24","KAB. NIAS UTARA","1"
"48","2","1225","NIAS BARAT","1225","12.25","KAB. NIAS BARAT","1"
"49","2","1271","SIBOLGA","1273","12.73","KOTA SIBOLGA","2"
"50","2","1272","TANJUNG BALAI","1274","12.74","KOTA TANJUNG BALAI","2"
"51","2","1273","PEMATANG SIANTAR","1272","12.72","KOTA PEMATANGSIANTAR","2"
"52","2","1274","TEBING TINGGI","1276","12.76","KOTA TEBING TINGGI","2"
"53","2","1275","MEDAN","1271","12.71","KOTA MEDAN","2"
"54","2","1276","BINJAI","1275","12.75","KOTA BINJAI","2"
"55","2","1277","PADANGSIDIMPUAN","1277","12.77","KOTA PADANG SIDEMPUAN","2"
"56","2","1278","GUNUNGSITOLI","1278","12.78","KOTA GUNUNGSITOLI","2"
"57","3","1301","KEPULAUAN MENTAWAI","1309","13.09","KAB. KEPULAUAN MENTAWAI","1"
"58","3","1302","PESISIR SELATAN","1301","13.01","KAB. PESISIR SELATAN","1"
"59","3","1303","SOLOK","1302","13.02","KAB. SOLOK","1"
"60","3","1304","SIJUNJUNG","1303","13.03","KAB. SIJUNJUNG","1"
"61","3","1305","TANAH DATAR","1304","13.04","KAB. TANAH DATAR","1"
"62","3","1306","PADANG PARIAMAN","1305","13.05","KAB. PADANG PARIAMAN","1"
"63","3","1307","AGAM","1306","13.06","KAB. AGAM","1"
"64","3","1308","LIMA PULUH KOTA","1307","13.07","KAB. LIMA PULUH KOTA","1"
"65","3","1309","PASAMAN","1308","13.08","KAB. PASAMAN","1"
"66","3","1310","SOLOK SELATAN","1311","13.11","KAB. SOLOK SELATAN","1"
"67","3","1311","DHARMASRAYA","1310","13.10","KAB. DHARMASRAYA","1"
"68","3","1312","PASAMAN BARAT","1312","13.12","KAB. PASAMAN BARAT","1"
"69","3","1371","PADANG","1371","13.71","KOTA PADANG","2"
"70","3","1372","SOLOK","1372","13.72","KOTA SOLOK","2"
"71","3","1373","SAWAH LUNTO","1373","13.73","KOTA SAWAHLUNTO","2"
"72","3","1374","PADANG PANJANG","1374","13.74","KOTA PADANG PANJANG","2"
"73","3","1375","BUKITTINGGI","1375","13.75","KOTA BUKITTINGGI","2"
"74","3","1376","PAYAKUMBUH","1376","13.76","KOTA PAYAKUMBUH","2"
"75","3","1377","PARIAMAN","1377","13.77","KOTA PARIAMAN","2"
"76","4","1401","KUANTAN SINGINGI","1409","14.09","KAB. KUANTAN SINGINGI","1"
"77","4","1402","INDRAGIRI HULU","1402","14.02","KAB. INDRAGIRI HULU","1"
"78","4","1403","INDRAGIRI HILIR","1404","14.04","KAB. INDRAGIRI HILIR","1"
"79","4","1404","PELALAWAN","1405","14.05","KAB.  PELALAWAN","1"
