"id","id_prov","id_kab","kode_bps","nama_bps","kode_dagri","kode_dagri2","nama_dagri"
"1","1","1","1101010","TEUPAH SELATAN","110907","11.09.07","TEUPAH SELATAN"
"2","1","1","1101020","SIMEULUE TIMUR","110904","11.09.04","SIMEULUE TIMUR"
"3","1","1","1101021","TEUPAH BARAT","110903","11.09.03","TEUPAH BARAT"
"4","1","1","1101022","TEUPAH TENGAH","110909","11.09.09","TEUPAH TENGAH"
"5","1","1","1101030","SIMEULUE TENGAH","110901","11.09.01","SIMEULUE TENGAH"
"6","1","1","1101031","TELUK DALAM","110905","11.09.05","TELUK DALAM"
"7","1","1","1101032","SIMEULUE CUT","110910","11.09.10","SIMEULUE CUT"
"8","1","1","1101040","SALANG","110902","11.09.02","SALANG"
"9","1","1","1101050","SIMEULUE BARAT","110906","11.09.06","SIMEULUE BARAT"
"10","1","1","1101051","ALAFAN","110908","11.09.08","ALAPAN"
"11","1","2","1102010","PULAU BANYAK","111001","11.10.01","PULAU BANYAK"
"12","1","2","1102011","PULAU BANYAK BARAT","111016","11.10.16","PULAU BANYAK BARAT"
"13","1","2","1102020","SINGKIL","111004","11.10.04","SINGKIL"
"14","1","2","1102021","SINGKIL UTARA","111010","11.10.10","SINGKIL UTARA"
"15","1","2","1102022","KUALA BARU","111014","11.10.14","KUALA BARU"
"16","1","2","1102030","SIMPANG KANAN","111002","11.10.02","SIMPANG KANAN"
"17","1","2","1102031","GUNUNG MERIAH","111006","11.10.06","GUNUNG MERIAH"
"18","1","2","1102032","DANAU PARIS","111011","11.10.11","DANAU PARIS"
"19","1","2","1102033","SURO","111012","11.10.12","SURO MAKMUR"
"20","1","2","1102042","SINGKOHOR","111013","11.10.13","SINGKOHOR"
"21","1","2","1102043","KOTA BAHARU","111009","11.10.09","KOTA BAHARU"
"22","1","3","1103010","TRUMON","110109","11.01.09","TRUMON"
"23","1","3","1103011","TRUMON TIMUR","110116","11.01.16","TRUMON TIMUR"
"24","1","3","1103012","TRUMON TENGAH","110118","11.01.18","TRUMON TENGAH"
"25","1","3","1103020","BAKONGAN","110101","11.01.01","BAKONGAN"
"26","1","3","1103021","BAKONGAN TIMUR","110115","11.01.15","BAKONGAN TIMUR"
"27","1","3","1103022","KOTA BAHAGIA","110117","11.01.17","KOTA BAHAGIA"
"28","1","3","1103030","KLUET SELATAN","110103","11.01.03","KLUET SELATAN"
"29","1","3","1103031","KLUET TIMUR","110114","11.01.14","KLUET TIMUR"
"30","1","3","1103040","KLUET UTARA","110102","11.01.02","KLUET UTARA"
"31","1","3","1103041","PASIE RAJA","110110","11.01.10","PASI RAJA"
"32","1","3","1103042","KLUET TENGAH","110113","11.01.13","KLUET TENGAH"
"33","1","3","1103050","TAPAK TUAN","110108","11.01.08","TAPAKTUAN"
"34","1","3","1103060","SAMA DUA","110106","11.01.06","SAMADUA"
"35","1","3","1103070","SAWANG","110107","11.01.07","SAWANG"
"36","1","3","1103080","MEUKEK","110105","11.01.05","MEUKEK"
"37","1","3","1103090","LABUHAN HAJI","110104","11.01.04","LABUHAN HAJI"
"38","1","3","1103091","LABUHAN HAJI TIMUR","110111","11.01.11","LABUHAN HAJI TIMUR"
"39","1","3","1103092","LABUHAN HAJI BARAT","110112","11.01.12","LABUHAN HAJI BARAT"
"40","1","4","1104010","LAWE ALAS","110201","11.02.01","LAWE ALAS"
"41","1","4","1104011","BABUL RAHMAH","110211","11.02.11","BABUL RAHMAH"
"42","1","4","1104012","TANOH ALAS","110215","11.02.15","TANOH ALAS"
"43","1","4","1104020","LAWE SIGALA-GALA","110202","11.02.02","LAWE SIGALA-GALA"
"44","1","4","1104021","BABUL MAKMUR","110206","11.02.06","BABUL MAKMUR"
"45","1","4","1104022","SEMADAM","110210","11.02.10","SEMADAM"
"46","1","4","1104023","LEUSER","110216","11.02.16","LEUSER"
"47","1","4","1104030","BAMBEL","110203","11.02.03","BAMBEL"
"48","1","4","1104031","BUKIT TUSAM","110209","11.02.09","BUKIT TUSAM"
"49","1","4","1104032","LAWE SUMUR","110214","11.02.14","LAWE SUMUR"
"50","1","4","1104040","BABUSSALAM","110204","11.02.04","BABUSSALAM"
"51","1","4","1104041","LAWE BULAN","110208","11.02.08","LAWE BULAN"
"52","1","4","1104050","BADAR","110205","11.02.05","BADAR"
"53","1","4","1104051","DARUL HASANAH","110207","11.02.07","DARUL HASANAH"
"54","1","4","1104052","KETAMBE","110212","11.02.12","KETAMBE"
"55","1","4","1104053","DELENG POKHKISEN","110213","11.02.13","DELENG POKHKISEN"
"56","1","5","1105080","SERBA JADI","110305","11.03.05","SERBAJADI"
"57","1","5","1105081","SIMPANG JERNIH","110320","11.03.20","SIMPANG JERNIH"
"58","1","5","1105082","PEUNARON","110324","11.03.24","PEUNARON"
"59","1","5","1105090","BIREM BAYEUN","110304","11.03.04","BIREM BAYEUN"
"60","1","5","1105100","RANTAU SELAMAT","110308","11.03.08","RANTAU SELAMAT"
"61","1","5","1105101","SUNGAI RAYA","110319","11.03.19","SUNGAI RAYA"
"62","1","5","1105110","PEUREULAK","110307","11.03.07","PEUREULAK"
"63","1","5","1105111","PEUREULAK TIMUR","110317","11.03.17","PEUREULAK TIMUR"
"64","1","5","1105112","PEUREULAK BARAT","110318","11.03.18","PEUREULAK BARAT"
"65","1","5","1105120","RANTO PEUREULAK","110310","11.03.10","RANTAU PEUREULAK"
"66","1","5","1105130","IDI RAYEUK","110303","11.03.03","IDI RAYEUK"
"67","1","5","1105131","PEUDAWA","110316","11.03.16","PEUDAWA"
"68","1","5","1105132","BANDA ALAM","110315","11.03.15","BANDA ALAM"
"69","1","5","1105133","IDI TUNONG","110314","11.03.14","IDI TUNONG"
"70","1","5","1105134","DARUL IHSAN","110321","11.03.21","DARUL IHSAN"
"71","1","5","1105135","IDI TIMUR","110323","11.03.23","IDI TIMUR"
"72","1","5","1105140","DARUL AMAN","110301","11.03.01","DARUL AMAN"
"73","1","5","1105150","NURUSSALAM","110306","11.03.06","NURUSSALAM"
"74","1","5","1105151","DARUL FALAH","110322","11.03.22","DARUL FALAH"
"75","1","5","1105160","JULOK","110302","11.03.02","JULOK"
"76","1","5","1105161","INDRA MAKMUR","110313","11.03.13","INDRA MAKMU"
"77","1","5","1105170","PANTE BIDARI","110311","11.03.11","PANTE BIDARI"
"78","1","5","1105180","SIMPANG ULIM","110309","11.03.09","SIMPANG ULIM"
"79","1","5","1105181","MADAT","110312","11.03.12","MADAT"
"80","1","6","1106010","LINGE","110401","11.04.01","LINGE"
"81","1","6","1106011","ATU LINTANG","110418","11.04.18","ATU LINTANG"
"82","1","6","1106012","JAGONG JEGET","110419","11.04.19","JAGONG JEGET"
"83","1","6","1106020","BINTANG","110408","11.04.08","BINTANG"
"84","1","6","1106031","LUT TAWAR","110417","11.04.17","LAUT TAWAR"
"85","1","6","1106032","KEBAYAKAN","110411","11.04.11","KEBAYAKAN"
"86","1","6","1106040","PEGASING","110407","11.04.07","PEGASING"
"87","1","6","1106041","BIES","110420","11.04.20","BIES"
"88","1","6","1106050","BEBESEN","110403","11.04.03","BEBESEN"
"89","1","6","1106051","KUTE PANANG","110412","11.04.12","KUTE PANANG"
"90","1","6","1106060","SILIH NARA","110402","11.04.02","SILIH NARA"
"91","1","6","1106061","KETOL","110410","11.04.10","KETOL"
"92","1","6","1106062","CELALA","110413","11.04.13","CELALA"
"93","1","6","1106063","RUSIP ANTARA","110421","11.04.21","RUSIP ANTARA"
"94","1","7","1107050","JOHAN PAHLAWAN","110501","11.05.01","JOHAN PAHWALAN"
"95","1","7","1107060","SAMATIGA","110505","11.05.05","SAMATIGA"
"96","1","7","1107061","BUBON","110506","11.05.06","BUBON"
"97","1","7","1107062","ARONGAN LAMBALEK","110507","11.05.07","ARONGAN LAMBALEK"
"98","1","7","1107070","WOYLA","110504","11.05.04","WOYLA"
"99","1","7","1107071","WOYLA BARAT","110510","11.05.10","WOYLA BARAT"
"100","1","7","1107072","WOYLA TIMUR","110511","11.05.11","WOYLA TIMUR"
"101","1","7","1107080","KAWAY XVI","110502","11.05.02","KAWAY XVI"
"102","1","7","1107081","MEUREUBO","110509","11.05.09","MEUREUBO"
"103","1","7","1107082","PANTE CEUREUMEN","110508","11.05.08","PANTE CEUREUMEN"
"104","1","7","1107083","PANTON REU","110512","11.05.12","PANTON REU"
"105","1","7","1107090","SUNGAI MAS","110503","11.05.03","SUNGAI MAS"
"106","1","8","1108010","LHOONG","110601","11.06.01","LHOONG"
"107","1","8","1108020","LHOKNGA","110602","11.06.02","LHOKNGA"
"108","1","8","1108021","LEUPUNG","110622","11.06.22","LEUPUNG"
"109","1","8","1108030","INDRAPURI","110603","11.06.03","INDRAPURI"
"110","1","8","1108031","KUTA COT GLIE","110616","11.06.16","KOTA COT GLIE"
"111","1","8","1108040","SEULIMEUM","110604","11.06.04","SEULIMEUM"
"112","1","8","1108041","KOTA JANTHO","110615","11.06.15","KOTA JANTHO"
"113","1","8","1108042","LEMBAH SEULAWAH","110614","11.06.14","LEMBAH SEULAWAH"
"114","1","8","1108050","MESJID RAYA","110609","11.06.09","MESJID RAYA"
"115","1","8","1108060","DARUSSALAM","110612","11.06.12","DARUSSALAM"
"116","1","8","1108061","BAITUSSALAM","110620","11.06.20","BAITUSSALAM"
"117","1","8","1108070","KUTA BARO","110611","11.06.11","KUTA BARO"
"118","1","8","1108080","MONTASIK","110605","11.06.05","MONTASIK"
"119","1","8","1108081","BLANG BINTANG","110623","11.06.23","BLANG BINTANG"
"120","1","8","1108090","INGIN JAYA","110610","11.06.10","INGIN JAYA"
"121","1","8","1108091","KRUENG BARONA JAYA","110621","11.06.21","KRUENG BARONA JAYA"
"122","1","8","1108100","SUKA MAKMUR","110606","11.06.06","SUKAMAKMUR"
"123","1","8","1108101","KUTA MALAKA","110617","11.06.17","KUTA MALAKA"
"124","1","8","1108102","SIMPANG TIGA","110618","11.06.18","SIMPANG TIGA"
"125","1","8","1108110","DARUL IMARAH","110607","11.06.07","DARUL IMARAH"
"126","1","8","1108111","DARUL KAMAL","110619","11.06.19","DARUL KAMAL"
"127","1","8","1108120","PEUKAN BADA","110608","11.06.08","PEUKAN BADA"
"128","1","8","1108130","PULO ACEH","110613","11.06.13","PULO ACEH"
"129","1","9","1109010","GEUMPANG","110705","11.07.05","GEUMPANG"
"130","1","9","1109011","MANE","110727","11.07.27","MANE"
"131","1","9","1109070","GLUMPANG TIGA","110706","11.07.06","GEULUMPANG TIGA"
"132","1","9","1109071","GLUMPANG BARO","110729","11.07.29","GLUMPANG BARO"
"133","1","9","1109080","MUTIARA","110713","11.07.13","MUTIARA"
"134","1","9","1109081","MUTIARA TIMUR","110724","11.07.24","MUTIARA TIMUR"
"135","1","9","1109090","TIRO/TRUSEB","110721","11.07.21","TIRO/TRUSEB"
"136","1","9","1109100","TANGSE","110719","11.07.19","TANGSE"
"137","1","9","1109111","KEUMALA","110722","11.07.22","KEUMALA"
"138","1","9","1109112","TITEUE","110731","11.07.31","TITEUE"
"139","1","9","1109120","SAKTI","110717","11.07.17","SAKTI"
"140","1","9","1109130","MILA","110711","11.07.11","MILA"
"141","1","9","1109140","PADANG TIJI","110714","11.07.14","PADANG TIJI"
"142","1","9","1109150","DELIMA","110704","11.07.04","DELIMA"
"143","1","9","1109151","GRONG GRONG","110725","11.07.25","GRONG-GRONG"
"144","1","9","1109160","INDRAJAYA","110707","11.07.07","INDRA JAYA"
"145","1","9","1109170","PEUKAN BARO","110715","11.07.15","PEUKAN BARO"
"146","1","9","1109180","KEMBANG TANJONG","110708","11.07.08","KEMBANG TANJONG"
"147","1","9","1109190","SIMPANG TIGA","110718","11.07.18","SIMPANG TIGA"
"148","1","9","1109200","KOTA SIGLI","110709","11.07.09","KOTA SIGLI"
"149","1","9","1109210","PIDIE","110716","11.07.16","PIDIE"
"150","1","9","1109220","BATEE","110703","11.07.03","BATEE"
"151","1","9","1109230","MUARA TIGA","110712","11.07.12","MUARA TIGA"
"152","1","10","1110010","SAMALANGA","111101","11.11.01","SAMALANGA"
"153","1","10","1110011","SIMPANG MAMPLAM","111111","11.11.11","SIMPANG MAMPLAM"
"154","1","10","1110020","PANDRAH","111108","11.11.08","PANDRAH"
"155","1","10","1110030","JEUNIEB","111102","11.11.02","JEUNIEB"
"156","1","10","1110031","PEULIMBANG","111112","11.11.12","PEULIMBANG"
"157","1","10","1110040","PEUDADA","111103","11.11.03","PEUDADA"
"158","1","10","1110050","JULI","111109","11.11.09","JULI"
"159","1","10","1110060","JEUMPA","111104","11.11.04","JEUMPA"
"160","1","10","1110061","KOTA JUANG","111113","11.11.13","KOTA JUANG"
"161","1","10","1110062","KUALA","111114","11.11.14","KUALA"
"162","1","10","1110070","JANGKA","111110","11.11.10","JANGKA"
"163","1","10","1110080","PEUSANGAN","111105","11.11.05","PEUSANGAN"
"164","1","10","1110081","PEUSANGAN SELATAN","111116","11.11.16","PEUSANGAN SELATAN"
"165","1","10","1110082","PEUSANGAN SIBLAH KRUENG","111115","11.11.15","PEUSANGAN SIBLAH"
"166","1","10","1110090","MAKMUR","111106","11.11.06","MAKMUR"
"167","1","10","1110100","GANDA PURA","111107","11.11.07","GANDAPURA"
"168","1","10","1110101","KUTA BLANG","111117","11.11.17","KUTA BLANG"
"169","1","11","1111010","SAWANG","110815","11.08.15","SAWANG"
"170","1","11","1111020","NISAM","110816","11.08.16","NISAM"
