"id","kode_bps","nama_bps","kode_dagri","nama_dagri"
"1","11","ACEH","11","ACEH"
"2","12","SUMATERA UTARA","12","SUMATERA UTARA"
"3","13","SUMATERA BARAT","13","SUMATERA BARAT"
"4","14","RIAU","14","RIAU"
"5","15","JAMBI","15","JAMBI"
"6","16","SUMATERA SELATAN","16","SUMATERA SELATAN"
"7","17","BENGKULU","17","BENGKULU"
"8","18","LAMPUNG","18","LAMPUNG"
"9","19","KEP. BANGKA BELITUNG","19","KEP. BANGKA BELITUNG"
"10","21","KEP. RIAU","21","KEP. RIAU"
"11","31","DKI JAKARTA","31","DKI JAKARTA"
"12","32","JAWA BARAT","32","JAWA BARAT"
"13","33","JAWA TENGAH","33","JAWA TENGAH"
"14","34","DI YOGYAKARTA","34","DI YOGYAKARTA"
"15","35","JAWA TIMUR","35","JAWA TIMUR"
"16","36","BANTEN","36","BANTEN"
"17","51","BALI","51","BALI"
"18","52","NUSA TENGGARA BARAT","52","NUSA TENGGARA BARAT"
"19","53","NUSA TENGGARA TIMUR","53","NUSA TENGGARA TIMUR"
"20","61","KALIMANTAN BARAT","61","KALIMANTAN BARAT"
"21","62","KALIMANTAN TENGAH","62","KALIMANTAN TENGAH"
"22","63","KALIMANTAN SELATAN","63","KALIMANTAN SELATAN"
"23","64","KALIMANTAN TIMUR","64","KALIMANTAN TIMUR"
"24","65","KALIMANTAN UTARA","65","KALIMANTAN UTARA"
"25","71","SULAWESI UTARA","71","SULAWESI UTARA"
"26","72","SULAWESI TENGAH","72","SULAWESI TENGAH"
"27","73","SULAWESI SELATAN","73","SULAWESI SELATAN"
"28","74","SULAWESI TENGGARA","74","SULAWESI TENGGARA"
"29","75","GORONTALO","75","GORONTALO"
"30","76","SULAWESI BARAT","76","SULAWESI BARAT"
"31","81","MALUKU","81","MALUKU"
"32","82","MALUKU UTARA","82","MALUKU UTARA"
"33","91","PAPUA BARAT","92","PAPUA BARAT"
"34","94","PAPUA","91","PAPUA"
